endpoint,nodeId,browseName,displayName,nodeClass,dataTypeId,valueRank,access,userAccess,currentValue
opc.tcp://plc:4840,ns=0;i=13887,OpenCount,OpenCount,2,ns=0;i=5,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=13885,Writable,Writable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13884,Size,Size,2,ns=0;i=9,-1,1,1,"[0,0]"
opc.tcp://plc:4840,ns=0;i=13904,LastUpdateTime,LastUpdateTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=13886,UserWritable,UserWritable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13852,UserWritable,UserWritable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13853,OpenCount,OpenCount,2,ns=0;i=5,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=13851,Writable,Writable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13850,Size,Size,2,ns=0;i=9,-1,1,1,"[0,0]"
opc.tcp://plc:4840,ns=0;i=13870,LastUpdateTime,LastUpdateTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=13919,Writable,Writable,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=13921,OpenCount,OpenCount,2,ns=0;i=5,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=13918,Size,Size,2,ns=0;i=9,-1,1,1,"[0,0]"
opc.tcp://plc:4840,ns=0;i=13938,LastUpdateTime,LastUpdateTime,2,ns=0;i=294,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=13920,UserWritable,UserWritable,2,ns=0;i=1,-1,1,1,false
